node_id,x_coord,y_coord,zone_id,geometry
34086,-93.795173,33.613882,,POINT (-93.795173 33.613882)
34087,-93.617126,33.676662,,POINT (-93.617126 33.676662)
34088,-93.614151,33.678857,,POINT (-93.614151 33.678857)
34089,-93.610107,33.68198,,POINT (-93.610107 33.68198)
34090,-93.605367,33.685454,,POINT (-93.605367 33.685454)
34091,-93.601276,33.688422,,POINT (-93.601276 33.688422)
34092,-93.598137,33.690701,,POINT (-93.598137 33.690701)
34093,-93.594498,33.693373,,POINT (-93.594498 33.693373)
34094,-93.588829,33.697498,,POINT (-93.588829 33.697498)
34095,-93.472862,33.774212,,POINT (-93.472862 33.774212)
34096,-93.428991,33.806392,,POINT (-93.428991 33.806392)
45132,-99.985718,40.843929,,POINT (-99.985718 40.843929)
45133,-99.98018,40.841095,,POINT (-99.98018 40.841095)
33859,-99.745735,40.742839,,POINT (-99.745735 40.742839)
33860,-99.740479,40.741779,,POINT (-99.740479 40.741779)
33861,-99.734344,40.740231,,POINT (-99.734344 40.740231)
33862,-100.753708,41.109741,,POINT (-100.753708 41.109741)
33863,-100.533805,41.052737,,POINT (-100.533805 41.052737)
33864,-100.525047,41.05151,,POINT (-100.525047 41.05151)
33865,-100.517534,41.050547,,POINT (-100.517534 41.050547)
33866,-100.223953,40.942314,,POINT (-100.223953 40.942314)
33867,-100.172786,40.916998,,POINT (-100.172786 40.916998)
33868,-100.166321,40.914509,,POINT (-100.166321 40.914509)
33869,-100.160058,40.912019,,POINT (-100.160058 40.912019)
6324,-99.810625,41.527089,6324.0,POINT (-99.810625 41.527089)
33870,-99.416267,40.692745,,POINT (-99.416267 40.692745)
33871,-99.386551,40.689937,,POINT (-99.386551 40.689937)
33872,-99.3797,40.689819,,POINT (-99.3797 40.689819)
33873,-99.372855,40.690084,,POINT (-99.372855 40.690084)
33874,-99.09269,40.669479,,POINT (-99.09269 40.669479)
33875,-99.091598,40.669424,,POINT (-99.091598 40.669424)
33876,-99.085449,40.66917,,POINT (-99.085449 40.66917)
33877,-99.07935,40.669314,,POINT (-99.07935 40.669314)
33878,-99.071106,40.66951,,POINT (-99.071106 40.66951)
33879,-98.957738,40.684757,,POINT (-98.957738 40.684757)
33880,-98.95105,40.686829,,POINT (-98.95105 40.686829)
33881,-98.944553,40.688756,,POINT (-98.944553 40.688756)
33882,-98.721184,40.722271,,POINT (-98.721184 40.722271)
33883,-98.594708,40.76074,,POINT (-98.594708 40.76074)
33884,-98.587799,40.762711,,POINT (-98.587799 40.762711)
33885,-98.581116,40.764587,,POINT (-98.581116 40.764587)
6313,-98.380162,38.484727,6313.0,POINT (-98.380162 38.484727)
45213,-98.463011,38.849112,,POINT (-98.463011 38.849112)
33886,-97.621198,38.337543,,POINT (-97.621198 38.337543)
33887,-97.446083,38.17358,,POINT (-97.446083 38.17358)
33888,-97.621025,38.340096,,POINT (-97.621025 38.340096)
33889,-97.620988,38.342875,,POINT (-97.620988 38.342875)
44529,-97.308769,37.646607,,POINT (-97.308769 37.646607)
44530,-97.308418,37.645381,,POINT (-97.308418 37.645381)
44521,-97.304077,37.62254,,POINT (-97.304077 37.62254)
33997,-97.297275,37.624925,,POINT (-97.297275 37.624925)
33998,-97.294929,37.625815,,POINT (-97.294929 37.625815)
33999,-97.288457,37.630578,,POINT (-97.288457 37.630578)
34000,-97.310315,37.65213,,POINT (-97.310315 37.65213)
34001,-97.309692,37.64983,,POINT (-97.309692 37.64983)
34002,-97.312023,37.661865,,POINT (-97.312023 37.661865)
34003,-97.312157,37.664509,,POINT (-97.312157 37.664509)
34004,-97.312157,37.66698,,POINT (-97.312157 37.66698)
34005,-97.312386,37.67503,,POINT (-97.312386 37.67503)
34006,-97.312383,37.679082,,POINT (-97.312383 37.679082)
34007,-97.312264,37.683216,,POINT (-97.312264 37.683216)
34008,-97.279907,37.643188,,POINT (-97.279907 37.643188)
34009,-97.231262,37.674614,,POINT (-97.231262 37.674614)
34010,-97.315176,37.692588,,POINT (-97.315176 37.692588)
34011,-97.315628,37.693649,,POINT (-97.315628 37.693649)
34012,-97.31597,37.69479,,POINT (-97.31597 37.69479)
34013,-97.319555,37.720485,,POINT (-97.319555 37.720485)
34014,-97.318733,37.72263,,POINT (-97.318733 37.72263)
34015,-97.318104,37.724675,,POINT (-97.318104 37.724675)
34016,-97.318349,37.739363,,POINT (-97.318349 37.739363)
34017,-97.318909,37.743389,,POINT (-97.318909 37.743389)
34018,-97.319059,37.74995,,POINT (-97.319059 37.74995)
34019,-97.228271,37.675579,,POINT (-97.228271 37.675579)
34020,-97.22438,37.675545,,POINT (-97.22438 37.675545)
34021,-97.189823,37.680118,,POINT (-97.189823 37.680118)
34022,-97.182089,37.685283,,POINT (-97.182089 37.685283)
34023,-97.152802,37.701649,,POINT (-97.152802 37.701649)
34024,-100.804872,39.116359,,POINT (-100.804872 39.116359)
34025,-100.499977,39.11166,,POINT (-100.499977 39.11166)
34026,-100.481097,39.109885,,POINT (-100.481097 39.109885)
34027,-100.478577,39.10939,,POINT (-100.478577 39.10939)
34028,-100.475499,39.108892,,POINT (-100.475499 39.108892)
34029,-100.445778,39.103085,,POINT (-100.445778 39.103085)
43513,-79.867379,32.842166,,POINT (-79.867379 32.842166)
34170,-79.86293,32.839199,,POINT (-79.86293 32.839199)
34171,-79.857027,32.836879,,POINT (-79.857027 32.836879)
34172,-80.148697,33.03801,,POINT (-80.148697 33.03801)
34173,-80.145975,33.035135,,POINT (-80.145975 33.035135)
34174,-80.151771,33.040961,,POINT (-80.151771 33.040961)
34175,-100.653272,35.222824,,POINT (-100.653272 35.222824)
34176,-100.641762,35.22649,,POINT (-100.641762 35.22649)
34177,-100.629007,35.226311,,POINT (-100.629007 35.226311)
34178,-100.616902,35.226365,,POINT (-100.616902 35.226365)
34179,-100.609306,35.226391,,POINT (-100.609306 35.226391)
34180,-100.601877,35.226389,,POINT (-100.601877 35.226389)
34181,-100.585097,35.226516,,POINT (-100.585097 35.226516)
34182,-100.578201,35.226582,,POINT (-100.578201 35.226582)
34183,-100.570064,35.226548,,POINT (-100.570064 35.226548)
