agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
14,1007,1006,0,102.33,0000:00,2,0,0,"LINESTRING (-2.247379 53.4879409, -2.2477414 53.4876629)"
14,1006,2567,0,112.90,0000:00,2,0,0,"LINESTRING (-2.2477414 53.4876629, -2.2477696 53.4876391, -2.2478352 53.4875859)"
14,2567,1005,0,172.63,0000:00,2,0,0,"LINESTRING (-2.2478352 53.4875859, -2.2482451 53.4872559, -2.248393 53.4871646)"
14,1005,1531,0,202.59,0000:00,3,0,0,"LINESTRING (-2.248393 53.4871646, -2.2484736 53.4872169, -2.248703 53.487361)"
14,1531,2893,0,252.46,0000:00,3,0,0,"LINESTRING (-2.248703 53.487361, -2.2491123 53.4875641, -2.2492978 53.4876354)"
14,2893,1218,0,312.73,0000:00,3,0,0,"LINESTRING (-2.2492978 53.4876354, -2.249393 53.4876661, -2.2495035 53.4877062, -2.2496905 53.4877558, -2.2501183 53.4878694)"
14,1218,1742,0,337.89,0000:00,4,0,0,"LINESTRING (-2.2501183 53.4878694, -2.2503704 53.4879394, -2.2504725 53.48794)"
14,1742,1741,0,345.91,0000:00,4,0,0,"LINESTRING (-2.2504725 53.48794, -2.2505841 53.4879118)"
15,1147,311,0,61.08,0000:00,0,0,0,"LINESTRING (-2.2495075 53.4928959, -2.2490858 53.4924072)"
15,311,1896,0,107.88,0000:00,0,0,0,"LINESTRING (-2.2490858 53.4924072, -2.2488876 53.4921892, -2.2487598 53.4920338)"
15,1896,503,0,179.46,0000:00,0,0,0,"LINESTRING (-2.2487598 53.4920338, -2.2482581 53.4914634)"
15,503,1988,0,247.64,0000:00,1,0,0,"LINESTRING (-2.2482581 53.4914634, -2.2477034 53.4909467)"
15,1988,1918,0,293.58,0000:00,2,0,0,"LINESTRING (-2.2477034 53.4909467, -2.2473539 53.4905897)"
15,1918,328,0,338.40,0000:00,3,0,0,"LINESTRING (-2.2473539 53.4905897, -2.2470849 53.4902197)"
15,328,2474,0,464.54,0000:00,4,0,0,"LINESTRING (-2.2470849 53.4902197, -2.2466 53.4895904, -2.2464753 53.4893535, -2.2464187 53.4892614, -2.2463634 53.4891714)"
15,2474,1454,0,546.80,0000:00,6,0,0,"LINESTRING (-2.2463634 53.4891714, -2.2462203 53.4890577, -2.2458951 53.4886649, -2.2457419 53.4885336)"
16,2481,1454,0,11.54,0000:00,0,0,0,"LINESTRING (-2.2459074 53.4885009, -2.2457419 53.4885336)"
16,1454,1455,0,68.55,0000:00,0,0,0,"LINESTRING (-2.2457419 53.4885336, -2.2454671 53.4885847, -2.244921 53.4886895)"
16,1455,476,0,176.54,0000:00,0,0,0,"LINESTRING (-2.244921 53.4886895, -2.2444912 53.488788, -2.2440412 53.4889009, -2.2436118 53.4890116, -2.2434127 53.4890605)"
16,476,1373,0,220.60,0000:00,0,0,0,"LINESTRING (-2.2434127 53.4890605, -2.2436752 53.4894247)"
16,1373,475,0,326.45,0000:00,0,0,0,"LINESTRING (-2.2436752 53.4894247, -2.2438747 53.4896696, -2.2441021 53.4899189, -2.2444196 53.4902671)"
16,475,330,0,443.68,0000:00,1,0,0,"LINESTRING (-2.2444196 53.4902671, -2.2452648 53.4911937)"
16,330,2116,0,487.42,0000:00,3,0,0,"LINESTRING (-2.2452648 53.4911937, -2.2458598 53.4910221)"
16,2116,1929,0,520.16,0000:00,3,0,0,"LINESTRING (-2.2458598 53.4910221, -2.2463046 53.4908931)"
16,1929,326,0,547.03,0000:00,4,0,0,"LINESTRING (-2.2463046 53.4908931, -2.2466698 53.4907874)"
16,326,1918,0,597.34,0000:00,4,0,0,"LINESTRING (-2.2466698 53.4907874, -2.2473539 53.4905897)"
16,1918,501,0,728.08,0000:00,4,0,0,"LINESTRING (-2.2473539 53.4905897, -2.2491313 53.4900758)"
16,501,506,0,878.94,0000:00,5,0,0,"LINESTRING (-2.2491313 53.4900758, -2.2496892 53.4907192, -2.2498437 53.4909031, -2.2500126 53.4913183)"
