,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
111,89509,-2.243444,53.488938,1,1,17,17.1,manchester,15283.0,N06351P,0.137332279309193,0.131225364297871,trunk,New Bridge Street,48.0,manchester,3.0,-2.243529,53.488917
112,89510,-2.243529,53.488917,2,1,17,17.1,manchester,15283.0,N06351P,0.137332279309193,0.131225364297871,trunk,New Bridge Street,48.0,manchester,3.0,-2.243529,53.488917
113,89511,-2.244754,53.488606,3,1,17,17.1,manchester,15283.0,N06351P,0.137332279309193,0.131225364297871,trunk,New Bridge Street,48.0,manchester,3.0,-2.243529,53.488917
114,89512,-2.245358,53.48846999999999,4,1,17,17.1,manchester,15283.0,N06351P,0.137332279309193,0.131225364297871,trunk,New Bridge Street,48.0,manchester,3.0,-2.243529,53.488917
115,89513,-2.244257,53.488733,1,1,18,18.1,manchester,15278.0,N06341K,0.07886891524282401,0.04103796799442,trunk,New Bridge Street,48.0,manchester,1.0,-2.244798,53.48863000000001
116,89514,-2.244577,53.488687,2,1,18,18.1,manchester,15278.0,N06341K,0.07886891524282401,0.04103796799442,trunk,New Bridge Street,48.0,manchester,1.0,-2.244798,53.48863000000001
117,89515,-2.244798,53.48863000000001,3,1,18,18.1,manchester,15278.0,N06341K,0.07886891524282401,0.04103796799442,trunk,New Bridge Street,48.0,manchester,1.0,-2.244798,53.48863000000001
118,89516,-2.245372,53.48849300000001,4,1,18,18.1,manchester,15278.0,N06341K,0.07886891524282401,0.04103796799442,trunk,New Bridge Street,48.0,manchester,1.0,-2.244798,53.48863000000001
119,89517,-2.24321,53.48910600000001,1,1,19,19.1,manchester,15274.0,N06331J,0.080793621868765,0.075156549019879,trunk,New Bridge Street,48.0,manchester,2.0,-2.24313,53.489123
120,89518,-2.24313,53.489123,2,1,19,19.1,manchester,15274.0,N06331J,0.080793621868765,0.075156549019879,trunk,New Bridge Street,48.0,manchester,2.0,-2.24313,53.489123
121,89519,-2.242085,53.489383,3,1,19,19.1,manchester,15274.0,N06331J,0.080793621868765,0.075156549019879,trunk,New Bridge Street,48.0,manchester,2.0,-2.24313,53.489123
122,89520,-2.241821,53.48934000000001,1,1,20,20.1,manchester,15280.0,N06341T,0.093931984528696,0.06509418539379,trunk,New Bridge Street,48.0,manchester,3.0,-2.242232,53.48925600000001
123,89521,-2.242232,53.48925600000001,2,1,20,20.1,manchester,15280.0,N06341T,0.093931984528696,0.06509418539379,trunk,New Bridge Street,48.0,manchester,3.0,-2.242232,53.48925600000001
124,89522,-2.243146,53.48904399999999,3,1,20,20.1,manchester,15280.0,N06341T,0.093931984528696,0.06509418539379,trunk,New Bridge Street,48.0,manchester,3.0,-2.242232,53.48925600000001
125,89523,-2.244741,53.492549,1,1,21,21.1,manchester,15331.0,N41111F,0.263511019350794,0.038656345754148,other,Lord Street,0.0,manchester,1.0,-2.241535,53.491896
126,89524,-2.2426060000000003,53.492116,2,1,21,21.1,manchester,15331.0,N41111F,0.263511019350794,0.038656345754148,other,Lord Street,0.0,manchester,1.0,-2.241535,53.491896
127,89525,-2.241535,53.491896,3,1,21,21.1,manchester,15331.0,N41111F,0.263511019350794,0.038656345754148,other,Lord Street,0.0,manchester,1.0,-2.241535,53.491896
128,89526,-2.240982,53.491787,4,1,21,21.1,manchester,15331.0,N41111F,0.263511019350794,0.038656345754148,other,Lord Street,0.0,manchester,1.0,-2.241535,53.491896
129,89527,-2.240806,53.491611,1,1,22,22.1,manchester,15332.0,N41121B,0.288651934711574,0.265289752606022,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24068,53.491807
130,89528,-2.24068,53.491807,2,1,22,22.1,manchester,15332.0,N41121B,0.288651934711574,0.265289752606022,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24068,53.491807
131,89529,-2.240275,53.492544,3,1,22,22.1,manchester,15332.0,N41121B,0.288651934711574,0.265289752606022,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24068,53.491807
132,89530,-2.239819,53.49332800000001,4,1,22,22.1,manchester,15332.0,N41121B,0.288651934711574,0.265289752606022,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24068,53.491807
133,89531,-2.23939,53.494063,5,1,22,22.1,manchester,15332.0,N41121B,0.288651934711574,0.265289752606022,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24068,53.491807
134,89532,-2.238397,53.491126,1,1,23,23.1,manchester,15333.0,N41111D,0.153313129262046,0.057321413953236,other,Lord Street,0.0,manchester,1.0,-2.239729,53.491462
135,89533,-2.239729,53.491462,2,1,23,23.1,manchester,15333.0,N41111D,0.153313129262046,0.057321413953236,other,Lord Street,0.0,manchester,1.0,-2.239729,53.491462
136,89534,-2.240535,53.491647,3,1,23,23.1,manchester,15333.0,N41111D,0.153313129262046,0.057321413953236,other,Lord Street,0.0,manchester,1.0,-2.239729,53.491462
137,89535,-2.24061,53.491796,1,1,24,24.1,manchester,15276.0,N06331Y,0.247309987939254,0.093137352707592,primary,Cheetham Hill Road,48.0,manchester,2.0,-2.24137,53.490487
138,89536,-2.24137,53.490487,2,1,24,24.1,manchester,15276.0,N06331Y,0.247309987939254,0.093137352707592,primary,Cheetham Hill Road,48.0,manchester,2.0,-2.24137,53.490487
139,89537,-2.241557,53.490042,3,1,24,24.1,manchester,15276.0,N06331Y,0.247309987939254,0.093137352707592,primary,Cheetham Hill Road,48.0,manchester,2.0,-2.24137,53.490487
140,89538,-2.2415700000000003,53.48966400000001,4,1,24,24.1,manchester,15276.0,N06331Y,0.247309987939254,0.093137352707592,primary,Cheetham Hill Road,48.0,manchester,2.0,-2.24137,53.490487
141,89539,-2.241391,53.490438,1,1,25,25.1,manchester,15275.0,N06331X,0.09016828259224,0.051032862917330994,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24159,53.490107
142,89540,-2.24159,53.490107,2,1,25,25.1,manchester,15275.0,N06331X,0.09016828259224,0.051032862917330994,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24159,53.490107
143,89541,-2.2416270000000003,53.489649,3,1,25,25.1,manchester,15275.0,N06331X,0.09016828259224,0.051032862917330994,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.24159,53.490107
144,89542,-2.241737,53.48961,1,1,26,26.1,manchester,15334.0,N41111E,0.232551764953661,0.17956907498930802,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.241684,53.490085
145,89543,-2.241684,53.490085,2,1,26,26.1,manchester,15334.0,N41111E,0.232551764953661,0.17956907498930802,primary,Cheetham Hill Road,48.0,manchester,1.0,-2.241684,53.490085
