link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000536,90071,Middlewood Street,2,100000674,100000675,,,"LINESTRING (-2.266767 53.479575,-2.266636 53.47951800000001)",,,,tertiary,,,0.0,2.0
100000537,90072,Middlewood Street,3,100000675,100000676,,,"LINESTRING (-2.266636 53.47951800000001,-2.265565 53.479159)",,,,tertiary,,,0.0,2.0
100000538,90073,Middlewood Street,4,100000676,100000677,,,"LINESTRING (-2.265565 53.479159,-2.264707 53.47889)",,,,tertiary,,,0.0,2.0
100000539,90074,Middlewood Street,5,100000677,100000678,,,"LINESTRING (-2.264707 53.47889,-2.264235 53.478822)",,,,tertiary,,,0.0,2.0
100000540,90075,Middlewood Street,6,100000678,100000679,,,"LINESTRING (-2.264235 53.478822,-2.263446 53.478801)",,,,tertiary,,,0.0,2.0
100000541,90076,Middlewood Street,7,100000679,100000680,,,"LINESTRING (-2.263446 53.478801,-2.2630790000000003 53.47881999999999)",,,,tertiary,,,0.0,2.0
100000542,90077,Middlewood Street,8,100000680,100000681,,,"LINESTRING (-2.2630790000000003 53.47881999999999,-2.262474 53.478871)",,,,tertiary,,,0.0,2.0
100000543,90078,Middlewood Street,9,100000681,100000682,,,"LINESTRING (-2.262474 53.478871,-2.262396 53.478903)",,,,tertiary,,,0.0,2.0
100000544,90080,Middlewood Street,1,100000683,100000684,,,"LINESTRING (-2.261773 53.478821,-2.262294 53.47878000000001)",,,,tertiary,,,0.0,1.0
100000545,90081,Middlewood Street,2,100000684,100000685,,,"LINESTRING (-2.262294 53.47878000000001,-2.26242 53.47876700000001)",,,,tertiary,,,0.0,1.0
100000546,90082,Middlewood Street,3,100000685,100000686,,,"LINESTRING (-2.26242 53.47876700000001,-2.263402 53.478746)",,,,tertiary,,,0.0,1.0
100000547,90083,Middlewood Street,4,100000686,100000687,,,"LINESTRING (-2.263402 53.478746,-2.264206 53.478771)",,,,tertiary,,,0.0,1.0
100000548,90084,Middlewood Street,5,100000687,100000688,,,"LINESTRING (-2.264206 53.478771,-2.2647150000000003 53.478846)",,,,tertiary,,,0.0,1.0
100000549,90085,Middlewood Street,6,100000688,100000689,,,"LINESTRING (-2.2647150000000003 53.478846,-2.26582 53.47916)",,,,tertiary,,,0.0,1.0
100000550,90086,Middlewood Street,7,100000689,100000690,,,"LINESTRING (-2.26582 53.47916,-2.26662 53.479468)",,,,tertiary,,,0.0,1.0
100000551,90088,Middlewood Street,1,100000691,100000692,,,"LINESTRING (-2.262583 53.478766,-2.263011 53.478774)",,,,tertiary,,,0.0,1.0
100000552,90089,Middlewood Street,2,100000692,100000693,,,"LINESTRING (-2.263011 53.478774,-2.263072 53.478782)",,,,tertiary,,,0.0,1.0
