link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000164,115N04377,AZ-101-LOOP_CLOCKWISE,50.0,100000030,100000051,1,,"LINESTRING (-112.03737 33.6702,-112.02306000000002 33.67265)",1,0.8505389999999999,,,,,
100000165,115N04135,AZ-101-LOOP_CLOCKWISE,32.0,100000029,100000105,1,,"LINESTRING (-112.2095 33.667609999999996,-112.19649 33.66815)",1,0.7489180000000001,,,,,
100000166,115N04376,AZ-101-LOOP_CLOCKWISE,48.0,100000034,100000035,1,,"LINESTRING (-112.07275 33.66876,-112.05848999999999 33.66898)",1,0.820003,,,,,
100000167,115+04138,AZ-101-LOOP_COUNTERCLOCKWISE,74.0,100000031,100000032,1,,"LINESTRING (-112.12678000000001 33.668859999999995,-112.13467 33.66928)",1,0.45632399999999995,,,,,
100000168,115N04134,AZ-101-LOOP_CLOCKWISE,30.0,100000033,100000092,1,,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",1,0.039724,,,,,
100000169,115N04375,AZ-101-LOOP_CLOCKWISE,46.0,100000036,100000088,1,,"LINESTRING (-112.09007 33.66921,-112.07713000000001 33.66871)",1,0.746925,,,,,
100000170,115+04139,AZ-101-LOOP_COUNTERCLOCKWISE,72.0,100000037,100000038,1,,"LINESTRING (-112.1164 33.66883,-112.11696 33.66883)",1,0.032195999999999995,,,,,
100000171,115N04139,AZ-101-LOOP_CLOCKWISE,40.0,100000039,100000040,1,,"LINESTRING (-112.12732 33.66864,-112.11697 33.66865)",1,0.595055,,,,,
100000172,115N04138,AZ-101-LOOP_CLOCKWISE,38.0,100000041,100000099,1,,"LINESTRING (-112.14013999999999 33.669540000000005,-112.13467 33.669090000000004)",1,0.317499,,,,,
100000173,115N04379,AZ-101-LOOP_CLOCKWISE,56.0,100000042,100000043,1,,"LINESTRING (-111.96503999999999 33.67009,-111.95459 33.665209999999995)",1,0.6889270000000001,,,,,
100000174,115N04137,AZ-101-LOOP_CLOCKWISE,36.0,100000044,100000101,1,,"LINESTRING (-112.1766 33.668279999999996,-112.161 33.66935)",1,0.903466,,,,,
100000175,115+04374,AZ-101-LOOP_COUNTERCLOCKWISE,68.0,100000045,100000046,1,,"LINESTRING (-112.08968 33.66937,-112.09245 33.66966)",1,0.16053299999999998,,,,,
100000176,115+04375,AZ-101-LOOP_COUNTERCLOCKWISE,66.0,100000047,100000074,1,,"LINESTRING (-112.07266000000001 33.66897,-112.07623000000001 33.66892)",1,0.205283,,,,,
100000177,115+04372,AZ-101-LOOP_COUNTERCLOCKWISE,48.0,100000048,100000075,1,,"LINESTRING (-111.89128999999998 33.61779,-111.89023999999999 33.6296)",1,0.818749,,,,,
100000178,115+04373,AZ-101-LOOP_COUNTERCLOCKWISE,50.0,100000049,100000050,1,,"LINESTRING (-111.8902 33.63686,-111.89029 33.640609999999995)",1,0.259359,,,,,
100000179,115-05163,AZ-101-LOOP_CLOCKWISE,51.0,100000051,100000078,1,,"LINESTRING (-112.02306000000002 33.67265,-112.00683000000001 33.67265)",1,0.933221,,,,,
